Frame,Sub Frame,RF,BF,MG,LG,AT
1,0,-0.00255585,-0.00896454,0.0484848,0.0586319,0.0455856
1,1,0.000267029,-0.00644684,0.0516129,0.0596237,0.0402451
1,2,0.000495911,-0.00312805,0.0564194,0.0588989,0.0312042
1,3,-0.00320435,-0.00564575,0.0547028,0.0577927,0.0479889
1,4,-0.00675201,-0.00614166,0.0601959,0.0590515,0.0325775
2,0,-0.00839233,-0.00579834,0.0612259,0.0650406,0.0333786
2,1,-0.00232697,-0.00385284,0.0604248,0.0619125,0.0679779
2,2,0.00892639,0.00228882,0.0580597,0.0588226,0.0983429
2,3,0.01297,0.00823975,0.0537109,0.0574875,0.105438
2,4,0.00999451,0.00831604,0.0491714,0.0543213,0.0843811
3,0,0.00457764,0.00389099,0.0463486,0.050087,0.0256729
3,1,-0.00179291,0.00038147,0.0521469,0.0510788,-0.0271988
3,2,-0.00305176,-0.00526428,0.050087,0.0499344,-0.0418472
3,3,-0.000228882,-0.00583649,0.0510406,0.0496674,-0.0415039
3,4,0.00324249,-0.00728607,0.0533295,0.0479507,0.00331879
4,0,0.00408173,-0.00476837,0.0516891,0.0477982,0.0278473
4,1,0.00320435,-0.00278473,0.0497437,0.0440216,0.0770187
4,2,0.00602722,0.000419617,0.0453186,0.0448608,0.116158
4,3,0.00587463,0.00247955,0.0387573,0.0416946,0.121918
4,4,0.0075531,0.00362396,0.0338364,0.0369644,0.0934219
5,0,0.00297546,0.00305176,0.0295258,0.0336838,0.067215
5,1,-0.000152588,0.00286102,0.0298309,0.0299454,0.0419235
5,2,0.00221252,0.00278473,0.0294113,0.0299072,0.0377655
5,3,-0.00534058,0.00389099,0.0304031,0.0291824,0.0469589
5,4,-0.00915527,0.00320435,0.0305939,0.0309753,0.0337601
6,0,-0.0133514,-0.00148773,0.0303268,0.0324249,0.0251007
6,1,-0.0123215,-0.00324249,0.0298309,0.0313568,0.0272369
6,2,-0.0182343,-0.00545502,0.0332642,0.0308609,0.0267029
6,3,-0.0183487,-0.0018692,0.032959,0.0336456,0.0382233
6,4,-0.00610352,-7.63E-05,0.0355911,0.0364304,0.0471497
7,0,-0.00434875,0.000801086,0.0354004,0.0366974,0.0445175
7,1,-0.00205994,0.000267029,0.0337982,0.0389481,0.0429916
7,2,-0.0012207,-0.00114441,0.0312805,0.0418854,0.0462341
7,3,0.00431061,7.63E-05,0.0359344,0.043335,0.0644302
7,4,0.0104141,0.00156403,0.0370407,0.0489044,0.0634766
8,0,0.0130081,0.00415802,0.0340271,0.0495911,0.0539017
8,1,0.0157547,0.00492096,0.0327682,0.0484467,0.0522614
8,2,0.0151825,0.00537872,0.0343323,0.0481796,0.0679779
8,3,0.0117111,0.0063324,0.0308609,0.0437927,0.0910568
8,4,0.00774384,0.00423431,0.0279236,0.039711,0.0561523
9,0,0.00801086,0.00484467,0.0335693,0.0461578,-0.00553131
9,1,0.00488281,0.00350952,0.0388718,0.0515366,-0.0219345
9,2,0.00282288,0.000343323,0.0428391,0.052681,-0.0430298
9,3,-0.000686646,-0.00152588,0.0441742,0.0527573,-0.0337982
9,4,-0.00232697,-0.00144958,0.0419998,0.048027,0.0540543
10,0,-0.00144958,-0.00213623,0.0411987,0.043335,0.0839233
10,1,-0.00125885,-0.00469208,0.0413513,0.0447083,0.0733566
10,2,-0.00114441,-0.00457764,0.0392914,0.045433,0.0643539
10,3,-0.00396729,-0.00484467,0.0415421,0.0479126,0.0196838
10,4,-0.00160217,-0.00648499,0.0413895,0.0463486,-0.0239944
11,0,-0.000305176,-0.00171661,0.0392151,0.0458527,0.0111008
11,1,-0.000610352,-0.00141144,0.0330353,0.0440216,0.078125
11,2,0.00469208,0.00148773,0.0330734,0.037117,0.183907
11,3,0.00679016,0.00675201,0.0239563,0.029335,0.262985
11,4,0.00617981,0.00720978,0.0188065,0.0270081,0.300751
12,0,-0.00175476,0.00598907,0.016098,0.027504,0.309334
12,1,-0.00732422,0.00289917,0.0161362,0.0310135,0.0799942
12,2,-0.00648499,0.000190735,0.0191498,0.0366592,-0.344009
12,3,-0.0101471,-0.00221252,0.0274277,0.0421524,-0.565071
12,4,-0.0111771,-0.00453949,0.0415421,0.0527191,-0.297241
13,0,-0.01091,-0.00450134,0.0580597,0.0603104,0.130043
13,1,-0.0123215,-0.00141144,0.0651169,0.0682449,0.378189
13,2,-0.01194,-0.00152588,0.0642395,0.0623322,0.379295
13,3,-0.0103378,-0.00354767,0.054245,0.0550461,0.214005
13,4,-0.00995636,-0.00289917,0.0460052,0.0497818,-0.0715637
14,0,-0.0102234,-0.00598907,0.0431442,0.0511932,-0.268898
14,1,-0.0155258,-0.00469208,0.0405121,0.0490189,-0.23159
14,2,-0.00591278,-0.00385284,0.0416946,0.0476837,-0.025444
14,3,0.00743866,-0.00190735,0.0447083,0.0498962,0.1231
14,4,0.021553,0.0019455,0.0391388,0.0484085,0.172958
15,0,0.0300217,0.0037384,0.0349808,0.0424576,0.190659
15,1,0.031395,0.00400543,0.0327682,0.0422287,0.207291
15,2,0.0250626,0.00766754,0.0377274,0.0429916,0.145111
15,3,0.0219727,0.0094223,0.037117,0.0388336,0.0318909
15,4,0.0165176,0.00583649,0.0328064,0.0351715,-0.0187683
16,0,0.0150681,0.00156403,0.030098,0.0331116,0.0391006
16,1,0.00988007,-0.000724792,0.0267792,0.031395,0.0579834
16,2,0.0075531,-0.00270844,0.0266266,0.0340271,0.059433
16,3,0.0159073,-0.00427246,0.0273132,0.0365067,0.0640106
16,4,-0.00419617,-0.00476837,0.0274658,0.0331116,0.0579071
17,0,-0.00202179,-0.00534058,0.0272369,0.0337219,0.0600815
17,1,0.0185013,-0.00614166,0.0310516,0.0355911,0.0764847
17,2,0.0228119,-0.00221252,0.0341415,0.038681,0.0915909
17,3,0.0129318,-0.00087738,0.0375748,0.0464249,0.036087
17,4,0.0157547,-0.00156403,0.0402451,0.0476837,0.0401306
18,0,-0.00522614,0.00148773,0.045166,0.0497818,0.0521469
18,1,-0.0497437,0.00339508,0.0459671,0.0505447,0.129089
18,2,-0.102997,0.00263214,0.0419235,0.0463104,0.174179
18,3,-0.101929,0.00125885,0.0358963,0.0370789,0.0813675
18,4,-0.0799561,0.00427246,0.0273514,0.0330353,-0.0627136
19,0,-0.0366211,0.00621796,0.0217056,0.031395,-0.176735
19,1,-0.00087738,0.00644684,0.021019,0.0332642,-0.173721
19,2,-0.00572205,0.00667572,0.0265884,0.0392532,-0.112457
19,3,-0.0298691,0.00640869,0.0351715,0.0489044,-0.112534
19,4,-0.0165176,0.00587463,0.0452423,0.0588989,-0.0379562
20,0,0.0169754,0.0037384,0.0580215,0.0640106,0.00926971
20,1,0.0416183,0.00324249,0.0655365,0.0629044,0.0622559
20,2,0.0545883,0.0056076,0.0597382,0.0584412,0.0608826
20,3,0.0511169,0.00385284,0.056572,0.0559235,-0.0359344
20,4,0.052681,0.000762939,0.0511169,0.0492859,-0.00991821
21,0,0.0821686,-0.000534058,0.0380325,0.0417328,0.118446
21,1,0.062294,-0.000801086,0.0374222,0.0353622,0.178566
21,2,0.0774384,-0.00202179,0.0303268,0.0323105,0.169907
21,3,0.0824738,-0.00534058,0.0308609,0.0305176,0.165443
21,4,0.0538254,-0.0056839,0.031929,0.0358963,0.140686
22,0,-0.0217056,-0.00583649,0.030098,0.038681,0.117722
22,1,-0.0676346,-0.0125885,0.0303268,0.0379562,0.132294
22,2,-0.100746,-0.0156021,0.0317001,0.0374985,0.156479
22,3,-0.0894928,-0.0162888,0.0307465,0.0398254,0.149536
22,4,-0.0666046,-0.0111008,0.0274277,0.0397873,0.128288
23,0,-0.052948,-0.00991821,0.0241852,0.0366592,0.0925446
23,1,-0.0417328,-0.00514984,0.0237656,0.0361633,0.0569153
23,2,-0.0352859,-0.00209808,0.0251007,0.0349808,-0.00118256
23,3,-0.0255585,0.000572205,0.0244522,0.0362778,-0.0777817
23,4,-0.0128174,-0.00152588,0.0289536,0.0407791,-0.0815582
24,0,0.0310135,0.00102997,0.0393295,0.0503922,0.0195313
24,1,0.0667191,0.00854492,0.0470352,0.0587463,0.137215
24,2,0.0631332,0.0157547,0.0492477,0.0606918,0.105896
24,3,0.0532913,0.0193024,0.0551605,0.0617981,0.0344086
24,4,0.0606537,0.020752,0.0566101,0.0641632,-0.0312805
25,0,0.0607681,0.0194931,0.0583649,0.0638962,-0.0161362
25,1,0.0593185,0.0200272,0.0543594,0.0608444,0.0252914
25,2,0.0598526,0.013237,0.0484085,0.0568771,0.0140381
25,3,0.0264359,0.00946045,0.0421143,0.0520325,-0.0301361
25,4,-0.036087,0.00125885,0.038414,0.0450134,-0.0454712
26,0,-0.0693512,-0.00457764,0.0309372,0.046196,-0.0574875
26,1,-0.0974655,-0.00370026,0.0272369,0.0405502,-0.0399017
26,2,-0.0827408,-0.00629425,0.0209427,0.0363159,0.0101852
26,3,-0.0712585,-0.00843048,0.0209427,0.0367355,0.0859833
26,4,-0.0457382,-0.017662,0.0182724,0.0378799,0.162392
27,0,-0.0136566,-0.0222397,0.0284576,0.0375366,0.167809
27,1,0.0131607,-0.0224686,0.0310516,0.03479,0.182114
27,2,0.0292587,-0.0186539,0.0272369,0.0355911,0.177498
27,3,0.0276566,-0.0147629,0.0297165,0.0392532,0.0951004
27,4,0.0219727,-0.00812531,0.0348282,0.0434113,-0.0862503
28,0,0.0183487,0.000839233,0.0490189,0.0495529,-0.172272
28,1,-0.0173187,0.00961304,0.0475693,0.0473404,-0.08358
28,2,-0.0309372,0.0153732,0.0494003,0.0444412,-0.0798035
28,3,-0.014534,0.0167465,0.0511932,0.0432587,0.0240326
28,4,0.0186157,0.01297,0.0542831,0.0458908,0.102577
29,0,0.0428772,0.0134659,0.0512314,0.0466537,0.0283813
29,1,0.0597382,0.0115204,0.0458527,0.0433731,0.0402832
29,2,0.0608444,0.00648499,0.0413132,0.0418091,0.0317764
29,3,0.0503159,0.00301361,0.0378036,0.0374985,0.0595856
29,4,0.0329208,0.00629425,0.0322342,0.0382233,0.121727
30,0,0.00946045,0.00255585,0.0304413,0.033989,0.150452
30,1,-0.00514984,0.00125885,0.0308228,0.0304413,0.1511
30,2,-0.0126266,0.000534058,0.0298691,0.0266647,0.128403
30,3,-0.0256348,0.00366211,0.0273132,0.0260162,0.0933075
30,4,-0.0312042,0.00247955,0.0255585,0.0267792,0.0508881
31,0,-0.0302124,-0.000953674,0.0301361,0.0301361,0.0166702
31,1,-0.031929,0.000991821,0.030098,0.0333405,-0.0421524
31,2,-0.0266647,0.00408173,0.031929,0.0315857,-0.0421906
31,3,-0.0244522,0.0038147,0.0368118,0.0352478,0.0337219
31,4,-0.0156021,-0.00240326,0.0418472,0.0383759,0.0902557
32,0,0.00774384,-0.00724792,0.0395584,0.0396729,0.162239
32,1,-0.00301361,-0.0104523,0.0382233,0.038147,0.125999
32,2,-0.00740051,-0.0165176,0.0413513,0.0447464,0.111237
32,3,0.00461578,-0.0217438,0.0468826,0.0574493,0.0684357
32,4,0.000991821,-0.0194168,0.0526047,0.0651169,0.0326538
33,0,-0.0295639,-0.0142288,0.0501633,0.0667572,0.0256348
33,1,-0.0371552,-0.0110626,0.0484085,0.0654221,0.0286102
33,2,-0.0448227,-0.00816345,0.0452423,0.0572205,0.0108719
33,3,-0.0419235,-0.00335693,0.0387192,0.0535965,0.0333405
33,4,-0.0102615,0.00900269,0.0336075,0.0526428,0.069809
34,0,0.0111008,0.00827789,0.0335693,0.0483704,0.0290298
34,1,0.0356674,0.00724792,0.0336838,0.04776,-0.0217056
34,2,0.0551605,0.00579834,0.0334549,0.0477219,-0.0786591
34,3,0.0510788,0.00511169,0.0338745,0.0512695,-0.0825119
34,4,0.0301743,-0.000190735,0.0358582,0.0514603,-0.0314713
35,0,0.0310516,-0.00972748,0.0365067,0.0506592,0.109024
35,1,0.0437546,0.0144958,0.0325394,0.0517654,0.12413
35,2,0.0273895,0.0336075,0.0370789,0.0505066,0.0342941
35,3,0.00453949,0.0247192,0.0413513,0.0547028,0.00427246
35,4,-0.00511169,0.0128555,0.0355911,0.0506592,0.0140762
36,0,0.000228882,-0.0275803,0.0341797,0.0484467,0.0620651
36,1,0.0121689,-0.0144577,0.0376129,0.0491333,0.085907
36,2,0.00888824,0.0304031,0.0332642,0.0432587,0.0136948
36,3,0.00274658,0.0109482,0.0296021,0.0378418,0.00640869
36,4,-0.00713348,-0.00743866,0.0293732,0.0373459,0.0621414
37,0,-0.0172806,0.0719833,0.0312042,0.035553,0.0818634
37,1,-0.0153732,0.104942,0.032692,0.0372696,0.0935745
37,2,-0.01194,0.0174713,0.0342178,0.0380707,0.129623
37,3,-0.0128555,-0.0337982,0.03479,0.0348663,0.113907
37,4,-0.00953674,-0.0448227,0.0363922,0.0335693,0.0896072
38,0,-0.00804901,-0.0823593,0.0336838,0.0285721,0.0918579
38,1,-0.00598907,-0.106773,0.0305176,0.0242996,0.170441
38,2,-0.00896454,-0.0722885,0.0318527,0.0251389,0.0418854
38,3,-0.00671387,-0.10437,0.030632,0.0321198,-0.127487
